KRANTI_GAUD,ODI,Batting First,2025–2026,13,36,19,7.2,0,21,Jun-52,25.19,1,4,0,-17.99,,,,
KRANTI_GAUD,ODI,Fielding First,2025–2025,4,8,8*,-,0,4,Feb-55,53.75,0,1,0,-,,,,
playerId,format,condition,span,Mat,Runs,HS,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,,,,,,
KRANTI_GAUD,T20,Batting First,2025–2025,1,-,-,-,0,-,-,0,0,0,,,,,,
KRANTI_GAUD,T20,Fielding First,2025–2026,5,12,12*,0,3,Jan-21,43,0,2,0,,,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
RENUKA_SINGH,TEST,Batting First,2023–2024,2,1,1,1,0,2,Jan-30,57,0,0,0,-56,,,,
RENUKA_SINGH,TEST,Fielding First,2023–2023,1,8,8,8,0,0,-,-,0,0,0,-,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
RENUKA_SINGH,ODI,Batting First,2022–2026,15,10,5*,2,0,23,May-29,22.95,1,2,0,-20.95,,,,
RENUKA_SINGH,ODI,Fielding First,2022–2026,14,11,8*,2.75,0,19,Apr-28,33.15,0,0,0,-30.4,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
RENUKA_SINGH,T20,Batting First,2021–2026,29,7,4*,7,0,24,04-Oct,26.2,0,4,0,-19.2,,,,
RENUKA_SINGH,T20,Fielding First,2021–2026,30,6,2*,3,0,42,May-15,17.97,1,5,0,-14.97,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
SAJEEVAN_SAJANA,T20,Batting First,2024–2024,8,37,11,9.25,0,1,Jan-16,56,0,3,0,-46.75,,,,
SAJEEVAN_SAJANA,T20,Fielding First,2024–2024,6,4,4*,-,0,0,-,-,0,3,0,-,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
SHREYANKA_PATIL,ODI,Fielding First,2023–2024,3,7,5*,7,0,5,Mar-57,27,0,2,0,-20,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
SHREYANKA_PATIL,T20,Batting First,2023–2026,6,12,7*,12,0,6,Mar-22,22.83,0,1,0,-10.83,,,,
SHREYANKA_PATIL,T20,Fielding First,2023–2026,12,7,7,3.5,0,17,Mar-19,17.23,0,3,0,-13.73,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
ANJALI_SARVANI,T20,Batting First,2022–2023,2,-,-,-,-,0,-,-,0,0,0,-,,,,
ANJALI_SARVANI,T20,Fielding First,2022–2022,4,6,4,6,0,3,Feb-34,46.33,0,0,0,-40.33,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
ARUNDHATI_REDDY,ODI,Batting First,2024–2025,6,41,14,13.66,0,5,Jan-21,52.8,0,6,0,-39.13,,,,
ARUNDHATI_REDDY,ODI,Fielding First,2024–2025,5,17,10,5.66,0,10,Apr-26,22.6,0,5,0,-16.93,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
ARUNDHATI_REDDY,T20,Batting First,2018–2026,22,67,27*,9.57,0,22,Mar-19,24.54,0,6,0,-14.97,,,,
ARUNDHATI_REDDY,T20,Fielding First,2018–2026,23,45,22,6.42,0,23,Apr-22,25.95,0,8,0,-19.52,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Ct,St,,,,,,,,,
BHARTI_FULMALI,T20,Batting First,2019–2019,1,18,18,18,0,0,0,,,,,,,,,
BHARTI_FULMALI,T20,Fielding First,2019–2019,1,5,5,5,0,0,0,,,,,,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
