Smriti Mandhana,ODI,SA Women,2014-2025,20,3,5,0,35,1,Jan-13,35,7,30,0,0,2,2,0,0,2,1 (1ct 0st),0.1,,
Smriti Mandhana,ODI,SL Women,2014-2025,17,,,,,,,,,8,8,0,0,8,1 (1ct 0st),0.47,,,,,
Smriti Mandhana,ODI,WI Women,2016-2024,9,,,,,,,,,4,4,0,0,4,2 (2ct 0st),0.444,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,Overs,Mdns,Runs Conceded,Wkts,BBI,Bowl Avg,Econ,SR,4w,5w,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,,
Jemimah Rodrigues,ODI,AUS Women,2018-2026,14,1,1,0,5,0,-,-,5,-,0,0,4,4,0,0,4,1 (1ct 0st),0.285,,
Jemimah Rodrigues,ODI,BAN Women,2023-2025,4,2,5.1,0,12,4,04-Mar,3,2.32,7.7,1,0,2,2,0,0,2,1 (1ct 0st),0.5,,
Jemimah Rodrigues,ODI,ENG Women,2018-2025,9,,,,,,,,,4,4,0,0,4,2 (2ct 0st),0.444,,,,,
Jemimah Rodrigues,ODI,IRE Women,2025-2025,3,,,,,,,,,0,0,0,0,0,0,0,,,,,
Jemimah Rodrigues,ODI,NZ Women,2019-2025,7,,,,,,,,,2,2,0,0,2,1 (1ct 0st),0.285,,,,,
Jemimah Rodrigues,ODI,PAK Women,2025-2025,1,,,,,,,,,0,0,0,0,0,0,0,,,,,
Jemimah Rodrigues,ODI,SA Women,2019-2025,13,1,1,0,1,1,01-Jan,1,1,6,0,0,4,4,0,0,4,1 (1ct 0st),0.307,,
Jemimah Rodrigues,ODI,SL Women,2018-2025,5,,,,,,,,,1,1,0,0,1,1 (1ct 0st),0.2,,,,,
Jemimah Rodrigues,ODI,WI Women,2019-2024,6,,,,,,,,,5,5,0,0,5,3 (3ct 0st),0.833,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,Overs,Mdns,Runs Conceded,Wkts,BBI,Bowl Avg,Econ,SR,4w,5w,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,,
Deepti Sharma,ODI,AUS Women,2017-2026,22,21,178.2,4,1124,26,May-38,43.23,6.3,41.1,0,1,5,5,0,0,5,2 (2ct 0st),0.227,,
Deepti Sharma,ODI,BAN Women,2017-2025,5,5,36,10,116,3,01-Jul,38.66,3.22,72,0,0,0,0,0,0,0,0,0,,
Deepti Sharma,ODI,ENG Women,2017-2025,19,19,156.3,4,703,22,Apr-51,31.95,4.49,42.6,1,0,6,6,0,0,6,1 (1ct 0st),0.315,,
Deepti Sharma,ODI,IRE Women,2017-2025,6,6,51.2,7,161,11,Mar-20,14.63,3.13,28,0,0,3,3,0,0,3,2 (2ct 0st),0.5,,
Deepti Sharma,ODI,NZ Women,2015-2025,17,17,139.1,7,686,27,Apr-52,25.4,4.92,30.9,1,0,6,6,0,0,6,2 (2ct 0st),0.352,,
Deepti Sharma,ODI,PAK Women,2017-2025,4,4,36,7,103,6,Mar-45,17.16,2.86,36,0,0,2,2,0,0,2,1 (1ct 0st),0.5,,
Deepti Sharma,ODI,SA Women,2014-2025,25,25,213.3,10,930,27,May-39,34.44,4.35,47.4,0,1,11,11,0,0,11,3 (3ct 0st),0.44,,
Deepti Sharma,ODI,SL Women,2016-2025,15,15,130.2,12,469,27,Jun-20,17.37,3.59,28.9,1,1,5,5,0,0,5,2 (2ct 0st),0.333,,
Deepti Sharma,ODI,WI Women,2016-2024,11,11,91.1,11,306,17,Jun-31,18,3.35,32.1,0,1,4,4,0,0,4,2 (2ct 0st),0.363,,
,,,,,,,,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,Overs,Mdns,Runs Conceded,Wkts,BBI,Bowl Avg,Econ,SR,4w,5w,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,,
Shree Charani,ODI,AUS Women,2025-2026,6,6,51.2,1,333,9,Mar-41,37,6.48,34.2,0,0,3,3,0,0,3,1 (1ct 0st),0.5,,
Shree Charani,ODI,BAN Women,2025-2025,1,1,6,0,23,2,Feb-23,11.5,3.83,18,0,0,1,1,0,0,1,1 (1ct 0st),1,,
Shree Charani,ODI,ENG Women,2025-2025,4,4,34,0,210,5,Feb-68,42,6.17,40.8,0,0,0,0,0,0,0,0,0,,
Shree Charani,ODI,NZ Women,2025-2025,1,1,9,0,58,1,Jan-58,58,6.44,54,0,0,0,0,0,0,0,0,0,,
Shree Charani,ODI,PAK Women,2025-2025,1,1,6,1,26,0,-,-,4.33,-,0,0,0,0,0,0,0,0,0,,
Shree Charani,ODI,SA Women,2025-2025,4,4,39,1,194,4,Jan-37,48.5,4.97,58.5,0,0,0,0,0,0,0,0,0,,
Shree Charani,ODI,SL Women,2025-2025,4,4,36,0,187,6,Feb-26,31.16,5.19,36,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,Overs,Mdns,Runs Conceded,Wkts,BBI,Bowl Avg,Econ,SR,4w,5w,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,,
Tanuja Kanwar,ODI,IRE Women,2025-2025,1,1,9,2,31,2,Feb-31,15.5,3.44,27,0,0,0,0,0,0,0,0,0,,
Tanuja Kanwar,ODI,WI Women,2024-2024,1,1,9,0,44,0,-,-,4.88,-,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,Overs,Mdns,Runs Conceded,Wkts,BBI,Bowl Avg,Econ,SR,4w,5w,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,,
Uma Chetry,ODI,BAN Women,2025-2025,1,,,,,,,,,0,0,0,0,0,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,Overs,Mdns,Runs Conceded,Wkts,BBI,Bowl Avg,Econ,SR,4w,5w,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,,
Vaishnavi Sharma,ODI,AUS Women,2026-2026,1,1,4,0,34,0,-,-,8.5,-,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,Overs,Mdns,Runs Conceded,Wkts,BBI,Bowl Avg,Econ,SR,4w,5w,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,,
Arundhati Reddy,ODI,AUS Women,2024-2025,3,3,26.2,2,158,8,Apr-26,19.75,6,19.7,1,0,4,4,0,0,4,3 (3ct 0st),1.333,,
Arundhati Reddy,ODI,ENG Women,2025-2025,1,1,5,0,21,0,-,-,4.2,-,0,0,0,0,0,0,0,0,0,,
Arundhati Reddy,ODI,NZ Women,2024-2024,2,2,16,0,73,1,Jan-21,73,4.56,96,0,0,1,1,0,0,1,1 (1ct 0st),0.5,,
Arundhati Reddy,ODI,SA Women,2024-2025,3,3,27,0,157,4,Feb-36,39.25,5.81,40.5,0,0,3,3,0,0,3,2 (2ct 0st),1,,
Arundhati Reddy,ODI,SL Women,2025-2025,2,2,17,0,81,2,Jan-26,40.5,4.76,51,0,0,3,3,0,0,3,2 (2ct 0st),1.5,,
,,,,,,,,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,Overs,Mdns,Runs Conceded,Wkts,BBI,Bowl Avg,Econ,SR,4w,5w,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,,
Dayalan Hemalatha,ODI,ENG Women,2022-2022,2,2,7.2,0,31,2,02-Jun,15.5,4.22,22,0,0,0,0,0,0,0,0,0,,
Dayalan Hemalatha,ODI,NZ Women,2019-2024,4,4,9,0,60,0,-,-,6.66,-,0,0,1,1,0,0,1,1 (1ct 0st),0.25,,
Dayalan Hemalatha,ODI,SA Women,2021-2024,3,1,10,0,44,1,Jan-44,44,4.4,60,0,0,0,0,0,0,0,0,0,,
Dayalan Hemalatha,ODI,SL Women,2018-2018,3,3,10,0,54,2,Jan-16,27,5.4,30,0,0,2,2,0,0,2,2 (2ct 0st),0.666,,
,,,,,,,,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,Overs,Mdns,Runs Conceded,Wkts,BBI,Bowl Avg,Econ,SR,4w,5w,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,,
Harleen Deol,ODI,AUS Women,2023-2026,9,,,,,,,,,2,2,0,0,2,1 (1ct 0st),0.222,,,,,
Harleen Deol,ODI,BAN Women,2023-2025,3,,,,,,,,,2,2,0,0,2,2 (2ct 0st),0.666,,,,,
Harleen Deol,ODI,ENG Women,2019-2025,8,2,6,0,38,1,Jan-25,38,6.33,36,0,0,5,5,0,0,5,3 (3ct 0st),0.625,,
Harleen Deol,ODI,IRE Women,2025-2025,3,,,,,,,,,0,0,0,0,0,0,0,,,,,
Harleen Deol,ODI,NZ Women,2025-2025,1,,,,,,,,,0,0,0,0,0,0,0,,,,,
Harleen Deol,ODI,PAK Women,2025-2025,1,,,,,,,,,0,0,0,0,0,0,0,,,,,
Harleen Deol,ODI,SA Women,2025-2025,3,,,,,,,,,2,2,0,0,2,1 (1ct 0st),0.666,,,,,
Harleen Deol,ODI,SL Women,2022-2025,7,4,9,1,43,1,01-Jul,43,4.77,54,0,0,2,2,0,0,2,1 (1ct 0st),0.285,,
Harleen Deol,ODI,WI Women,2024-2024,3,,,,,,,,,1,1,0,0,1,1 (1ct 0st),0.333,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,Overs,Mdns,Runs Conceded,Wkts,BBI,Bowl Avg,Econ,SR,4w,5w,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,,
Minnu Mani,ODI,AUS Women,2024-2024,2,2,14,0,107,2,Feb-71,53.5,7.64,42,0,0,1,1,0,0,1,1 (1ct 0st),0.5,,
Minnu Mani,ODI,IRE Women,2025-2025,1,1,6,0,22,1,Jan-22,22,3.66,36,0,0,1,1,0,0,1,1 (1ct 0st),1,,
,,,,,,,,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,Overs,Mdns,Runs Conceded,Wkts,BBI,Bowl Avg,Econ,SR,4w,5w,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,,
Priya Mishra,ODI,AUS Women,2024-2024,2,2,12,0,99,3,02-Nov,33,8.25,24,0,0,0,0,0,0,0,0,0,,
Priya Mishra,ODI,IRE Women,2025-2025,2,2,19,1,109,4,Feb-53,27.25,5.73,28.5,0,0,0,0,0,0,0,0,0,,
Priya Mishra,ODI,NZ Women,2024-2024,2,2,20,2,90,3,Feb-41,30,4.5,40,0,0,0,0,0,0,0,0,0,,
Priya Mishra,ODI,WI Women,2024-2024,3,3,16.4,0,101,5,Mar-49,20.2,6.06,20,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,Overs,Mdns,Runs Conceded,Wkts,BBI,Bowl Avg,Econ,SR,4w,5w,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,,
Priya Punia,ODI,AUS Women,2024-2024,2,,,,,,,,,0,0,0,0,0,0,0,,,,,
Priya Punia,ODI,BAN Women,2023-2023,2,,,,,,,,,1,1,0,0,1,1 (1ct 0st),0.5,,,,,
Priya Punia,ODI,SA Women,2019-2024,6,,,,,,,,,0,0,0,0,0,0,0,,,,,
Priya Punia,ODI,WI Women,2019-2019,2,,,,,,,,,0,0,0,0,0,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,Overs,Mdns,Runs Conceded,Wkts,BBI,Bowl Avg,Econ,SR,4w,5w,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,,
Amanjot Kaur,ODI,AUS Women,2023-2026,6,6,39,0,269,5,Feb-68,53.8,6.89,46.8,0,0,1,1,0,0,1,1 (1ct 0st),0.166,,
Amanjot Kaur,ODI,BAN Women,2023-2025,4,4,25,2,106,5,Apr-31,21.2,4.24,30,1,0,1,1,0,0,1,1 (1ct 0st),0.25,,
Amanjot Kaur,ODI,ENG Women,2025-2025,2,2,14,0,84,1,Jan-58,84,6,84,0,0,0,0,0,0,0,0,0,,
Amanjot Kaur,ODI,SA Women,2025-2025,3,3,18.5,0,133,4,Mar-59,33.25,7.06,28.2,0,0,1,1,0,0,1,1 (1ct 0st),0.333,,
Amanjot Kaur,ODI,SL Women,2025-2025,2,2,14,0,91,4,Mar-54,22.75,6.5,21,0,0,1,1,0,0,1,1 (1ct 0st),0.5,,
,,,,,,,,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,Overs,Mdns,Runs Conceded,Wkts,BBI,Bowl Avg,Econ,SR,4w,5w,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,,
Radha Yadav,ODI,AUS Women,2025-2025,4,4,25,0,202,2,Jan-27,101,8.08,75,0,0,3,3,0,0,3,2 (2ct 0st),0.75,,
Radha Yadav,ODI,BAN Women,2025-2025,1,1,6,0,30,3,Mar-30,10,5,12,0,0,0,0,0,0,0,0,0,,
Radha Yadav,ODI,ENG Women,2025-2025,1,1,10,0,62,0,-,-,6.2,-,0,0,1,1,0,0,1,1 (1ct 0st),1,,
Radha Yadav,ODI,NZ Women,2024-2024,3,3,22.4,0,125,7,Apr-69,17.85,5.51,19.4,1,0,5,5,0,0,5,3 (3ct 0st),1.666,,
Radha Yadav,ODI,SA Women,2021-2025,5,5,44.4,0,243,1,Jan-32,243,5.44,268,0,0,3,3,0,0,3,2 (2ct 0st),0.6,,
,,,,,,,,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,Overs,Mdns,Runs Conceded,Wkts,BBI,Bowl Avg,Econ,SR,4w,5w,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,,
Saima Thakor,ODI,AUS Women,2024-2024,3,3,19,0,120,3,Mar-62,40,6.31,38,0,0,0,0,0,0,0,0,0,,
Saima Thakor,ODI,IRE Women,2025-2025,2,2,19,0,80,0,-,-,4.21,-,0,0,0,0,0,0,0,0,0,,
Saima Thakor,ODI,NZ Women,2024-2024,3,3,26.5,1,128,4,Feb-26,32,4.77,40.2,0,0,3,3,0,0,3,3 (3ct 0st),1,,
Saima Thakor,ODI,WI Women,2024-2024,2,2,6,0,41,0,-,-,6.83,-,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,Overs,Mdns,Runs Conceded,Wkts,BBI,Bowl Avg,Econ,SR,4w,5w,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,,
Saika Ishaque,ODI,AUS Women,2023-2023,1,1,6,0,48,0,-,-,8,-,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,Overs,Mdns,Runs Conceded,Wkts,BBI,Bowl Avg,Econ,SR,4w,5w,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,,
Shafali Verma,ODI,AUS Women,2021-2026,7,1,5,0,25,0,-,-,5,-,0,0,1,1,0,0,1,1 (1ct 0st),0.142,,
Shafali Verma,ODI,BAN Women,2022-2023,2,1,6,0,31,0,-,-,5.16,-,0,0,0,0,0,0,0,0,0,,
