playerId,format,vs Team,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s,
harleen_deol,odi,vs BAN Women,2023-2025,3,2,0,102,77,51,144,70.83,0,1,0,9,0,
harleen_deol,odi,vs ENG Women,2019-2025,8,8,1,181,58,25.85,269,67.28,0,1,0,19,2,
harleen_deol,odi,vs IRE Women,2025-2025,3,3,0,124,89,41.33,126,98.41,0,1,0,17,0,
harleen_deol,odi,vs NZ Women,2025-2025,1,,,,,,,,,,,,,
harleen_deol,odi,vs PAK Women,2025-2025,1,1,0,46,46,46,65,70.76,0,0,0,4,1,
harleen_deol,odi,vs SA Women,2025-2025,3,3,0,46,29,15.33,75,61.33,0,0,0,6,0,
harleen_deol,odi,vs SL Women,2022-2025,7,6,1,207,48*,41.4,269,76.95,0,0,0,20,0,
harleen_deol,odi,vs WI Women,2024-2024,3,3,0,160,115,53.33,156,102.56,1,0,0,18,1,
,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s,
minnu_mani,odi,vs AUS Women,,2,2,1,54,46*,54,56,96.42,0,0,0,5,0,
minnu_mani,odi,vs IRE Women,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s,
priya_mishra,odi,vs AUS Women,,2,2,0,5,5,2.5,20,25,0,0,1,0,0,
priya_mishra,odi,vs IRE Women,,2,,,,,,,,,,,,,
priya_mishra,odi,vs NZ Women,,2,1,1,0,0*,,7,0,0,0,0,0,0,
priya_mishra,odi,vs WI Women,,3,1,1,1,1*,,3,33.33,0,0,0,0,0,
,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s,
priya_punia,odi,vs AUS Women,2024-2024,2,1,0,3,3,3,17,17.64,0,0,0,0,0,
priya_punia,odi,vs BAN Women,2023-2023,2,2,0,17,10,8.5,40,42.5,0,0,0,2,0,
priya_punia,odi,vs SA Women,2019-2024,6,6,1,173,75*,34.6,286,60.48,0,1,1,23,1,
priya_punia,odi,vs WI Women,2019-2019,2,2,0,80,75,40,135,59.25,0,1,0,6,0,
,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s,
amanjot_kaur,odi,vs AUS Women,2023-2026,6,6,1,71,20,14.2,87,81.6,0,0,0,7,0,
amanjot_kaur,odi,vs BAN Women,2023-2025,4,4,2,43,15*,21.5,84,51.19,0,0,0,3,0,
amanjot_kaur,odi,vs ENG Women,2025-2025,2,2,2,38,20*,,29,131.03,0,0,0,5,0,
amanjot_kaur,odi,vs SA Women,2025-2025,3,3,0,30,13,10,65,46.15,0,0,0,2,0,
amanjot_kaur,odi,vs SL Women,2025-2025,2,2,0,75,57,37.5,68,110.29,0,1,0,7,1,
,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s,
radha_yadav,odi,vs AUS Women,2025-2025,4,3,0,43,19,14.33,41,104.87,0,0,0,5,0,
radha_yadav,odi,vs BAN Women,2025-2025,1,,,,,,,,,,,,,
radha_yadav,odi,vs ENG Women,2025-2025,1,1,1,2,2*,,2,100,0,0,0,0,0,
radha_yadav,odi,vs NZ Women,2024-2024,3,2,0,51,48,25.5,68,75,0,0,0,5,0,
radha_yadav,odi,vs SA Women,2021-2025,5,2,1,9,6,9,10,90,0,0,0,0,0,
,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s,
saika_ishaque,odi,vs AUS Women,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s,
saima_thakor,odi,vs AUS Women,,3,3,0,11,7,3.66,35,31.42,0,0,1,1,0,
saima_thakor,odi,vs IRE Women,,2,,,,,,,,,,,,,
saima_thakor,odi,vs NZ Women,,3,2,0,31,29,15.5,60,51.66,0,0,0,3,0,
saima_thakor,odi,vs WI Women,,2,1,0,4,4,4,2,200,0,0,0,1,0,
,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s,
shafali_verma,odi,vs AUS Women,2021-2026,7,7,0,113,56,16.14,167,67.66,0,1,0,16,1,
shafali_verma,odi,vs BAN Women,2022-2023,2,2,0,46,42,23,45,102.22,0,0,0,7,1,
shafali_verma,odi,vs ENG Women,2021-2022,6,6,0,87,44,14.5,116,75,0,0,1,15,0,
shafali_verma,odi,vs NZ Women,2022-2024,8,8,0,152,51,19,166,91.56,0,1,1,20,2,
shafali_verma,odi,vs PAK Women,2022-2022,1,1,0,0,0,0,6,0,0,0,1,0,0,
shafali_verma,odi,vs SA Women,2022-2025,5,5,0,192,87,38.4,213,90.14,0,2,0,23,2,
shafali_verma,odi,vs SL Women,2022-2022,3,3,1,155,71*,77.5,161,96.27,0,1,0,10,3,
,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s,
richa_ghosh,odi,vs AUS Women,2021-2026,18,18,1,471,96,27.7,552,85.32,0,2,1,51,9,
richa_ghosh,odi,vs BAN Women,2022-2022,1,1,0,26,26,26,36,72.22,0,0,0,3,0,
richa_ghosh,odi,vs ENG Women,2022-2025,5,5,1,91,38*,22.75,103,88.34,0,0,0,9,2,
richa_ghosh,odi,vs IRE Women,2025-2025,3,3,1,77,59,38.5,49,157.14,0,1,0,14,1,
richa_ghosh,odi,vs NZ Women,2022-2025,6,6,2,150,65,37.5,130,115.38,0,2,1,12,6,
richa_ghosh,odi,vs PAK Women,2022-2025,2,2,1,36,35*,36,25,144,0,0,0,3,2,
richa_ghosh,odi,vs SA Women,2022-2025,8,8,2,214,94,35.66,161,132.91,0,1,0,22,10,
richa_ghosh,odi,vs SL Women,2022-2025,7,5,0,76,58,15.2,83,91.56,0,1,0,5,4,
richa_ghosh,odi,vs WI Women,2022-2024,4,4,2,67,26,33.5,40,167.5,0,0,0,7,4,
,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s,
yastika_bhatia,odi,vs AUS Women,2021-2024,7,7,0,230,64,32.85,321,71.65,0,2,0,27,0,
yastika_bhatia,odi,vs BAN Women,2022-2023,4,4,0,85,50,21.25,134,63.43,0,1,0,7,0,
yastika_bhatia,odi,vs ENG Women,2022-2022,4,4,0,84,50,21,94,89.36,0,1,1,13,1,
yastika_bhatia,odi,vs NZ Women,2022-2024,8,8,0,203,41,25.37,293,69.28,0,0,1,20,1,
yastika_bhatia,odi,vs SA Women,2022-2022,1,1,0,2,2,2,3,66.66,0,0,0,0,0,
yastika_bhatia,odi,vs SL Women,2022-2022,3,2,0,31,30,15.5,46,67.39,0,0,0,5,0,
yastika_bhatia,odi,vs WI Women,2022-2022,1,1,0,31,31,31,21,147.61,0,0,0,6,0,
,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s,
pooja_vastrakar,odi,vs AUS Women,2018-2024,10,10,1,254,62*,28.22,282,90.07,0,2,0,22,6,
pooja_vastrakar,odi,vs BAN Women,2022-2023,2,2,1,37,30*,37,44,84.09,0,0,0,2,0,
pooja_vastrakar,odi,vs ENG Women,2018-2022,7,5,0,61,22,12.2,85,71.76,0,0,1,9,0,
pooja_vastrakar,odi,vs NZ Women,2022-2022,4,4,0,44,23,11,61,72.13,0,0,0,5,0,
pooja_vastrakar,odi,vs PAK Women,2022-2022,1,1,0,67,67,67,59,113.55,0,1,0,8,0,
pooja_vastrakar,odi,vs SA Women,2018-2024,5,3,1,35,31*,17.5,52,67.3,0,0,0,3,0,
pooja_vastrakar,odi,vs SL Women,2022-2022,3,2,2,77,56*,,84,91.66,0,1,0,0,5,
pooja_vastrakar,odi,vs WI Women,2022-2022,1,1,0,10,10,10,5,200,0,0,0,2,0,
,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s,
sneh_rana,odi,vs AUS Women,2016-2026,12,9,1,156,44,19.5,203,76.84,0,0,1,20,0,
sneh_rana,odi,vs BAN Women,2022-2023,4,4,0,28,27,7,26,107.69,0,0,2,2,0,
sneh_rana,odi,vs ENG Women,2021-2025,8,5,1,45,24,11.25,44,102.27,0,0,1,6,0,
sneh_rana,odi,vs NZ Women,2015-2025,7,5,0,47,18,9.4,77,61.03,0,0,0,5,0,
sneh_rana,odi,vs PAK Women,2022-2025,2,2,1,73,53*,73,81,90.12,0,1,0,6,0,
sneh_rana,odi,vs SA Women,2022-2025,4,3,2,35,33,35,29,120.68,0,0,0,6,0,
sneh_rana,odi,vs SL Women,2014-2025,7,2,1,38,28*,38,24,158.33,0,0,0,3,2,
sneh_rana,odi,vs WI Women,2022-2022,1,1,1,2,2*,,2,100,0,0,0,0,0,
,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s,
rajeshwari_gaikwad,odi,vs AUS Women,2016-2022,8,2,2,0,0*,,3,0,0,0,0,0,0,
rajeshwari_gaikwad,odi,vs BAN Women,2017-2022,2,,,,,,,,,,,,,
rajeshwari_gaikwad,odi,vs ENG Women,2014-2022,9,4,1,6,5,2,28,21.42,0,0,2,0,0,
rajeshwari_gaikwad,odi,vs IRE Women,2017-2017,1,,,,,,,,,,,,,
rajeshwari_gaikwad,odi,vs NZ Women,2015-2022,11,6,2,10,4,2.5,40,25,0,0,2,1,0,
rajeshwari_gaikwad,odi,vs PAK Women,2022-2022,1,,,,,,,,,,,,,
rajeshwari_gaikwad,odi,vs SA Women,2014-2022,14,6,4,2,2*,1,16,12.5,0,0,2,0,0,
rajeshwari_gaikwad,odi,vs SL Women,2014-2022,12,2,2,3,3*,,2,150,0,0,0,0,0,
rajeshwari_gaikwad,odi,vs WI Women,2016-2022,6,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
playerId,format,discipline,vs Team,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w,
meghna_singh,odi,bowling,vs AUS Women,2021-2022,4,4,31,2,170,2,Jan-38,85,5.48,93,0,0,
meghna_singh,odi,bowling,vs BAN Women,2023-2023,2,2,13,2,55,1,Jan-27,55,4.23,78,0,0,
